 ,dive_ctd,sample_name,collection_method,sample_type,sample_identifier,filter,processing,location_name,depth_category,depth,fluid_origin,lat,long,pH,temp,prok,site,year
AXIAL_23_173_CTD004_IntlDist_CTD_plume_Niskin_PES02_SHIPBOARD_18S,CTD004,IntlDist,CTD,plume,Niskin,PES02,SHIPBOARD,International District,under plume,1508,Niskin,45.92638333,-129.9799667,NA,NA,40500,Axial,2023
AXIAL_23_175_J21506_Gollum_SUPR_vent_F1308_GFF_INSITU_18S,J21506,Gollum,SUPR,vent,F1308,GFF,INSITU,Gollum,diffuse,1539,F1308,45.93353198,-130.0132774,NA,NA,NA,Axial,2023
AXIAL_23_176_J21506_Gollum_SUPR_vent_F1409_GFF_INSITU_18S,J21506,Gollum,SUPR,vent,F1409,GFF,INSITU,Gollum,diffuse,1539,F1409,45.93353198,-130.0132774,NA,NA,NA,Axial,2023
AXIAL_23_177_J21503_Diva_SUPR_vent_F1416_GFF_INSITU_18S,J21503,Diva,SUPR,vent,F1416,GFF,INSITU,Diva,diffuse,1518,F1416,45.926378,-129.979065,NA,NA,NA,Axial,2023
AXIAL_23_178_J21503_Diva_UFO_vent_UFO_sterivex_INSITU_18S,J21503,Diva,UFO,vent,UFO,sterivex,INSITU,Diva,diffuse,1518,UFO,45.926378,-129.979065,NA,NA,180000,Axial,2023
AXIAL_23_179_J21505_BSW_UFO_background_F_sterivex_INSITU_18S,J21505,BSW,UFO,background,F,sterivex,INSITU,Background,background,1400,F,45.9334015,-129.981957,NA,NA,NA,Axial,2023
AXIAL_23_180_J21504_Mkr33_SUPR_vent_F1214_PES02_INSITU_18S,J21504,Mkr33,SUPR,vent,F1214,PES02,INSITU,Marker 33,diffuse,1512,F1214,45.933121,-129.982332,NA,24,141000,Axial,2023
AXIAL_23_180b_J21504_Mkr33_SUPR_vent_F1214_PES02_INSITU_16S,J21504,Mkr33,SUPR,vent,F1214,PES02,INSITU,Marker 33,diffuse,1512,F1214,45.933121,-129.982332,NA,NA,NA,Axial,2023
AXIAL_23_181_J21504_Mkr33_SUPR_vent_F1313_GFF_INSITU_18S,J21504,Mkr33,SUPR,vent,F1313,GFF,INSITU,Marker 33,diffuse,1512,F1313,45.933121,-129.982332,NA,NA,NA,Axial,2023
AXIAL_23_182_J21504_Mkr33_SUPR_vent_F1411_GFF_INSITU_18S,J21504,Mkr33,SUPR,vent,F1411,GFF,INSITU,Marker 33,diffuse,1512,F1411,45.933121,-129.982332,NA,NA,NA,Axial,2023
AXIAL_23_183_J21505_Mkr113_SUPR_vent_F1307_GFF_INSITU_18S,J21505,Mkr113,SUPR,vent,F1307,GFF,INSITU,Marker 113,diffuse,1519,F1307,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_184_J21505_Mkr113_SUPR_vent_F1407_GFF_INSITU_18S,J21505,Mkr113,SUPR,vent,F1407,GFF,INSITU,Marker 113,diffuse,1519,F1407,45.933592,-130.014068,NA,NA,NA,Axial,2023
AXIAL_23_185_J21505_Mkr113_SUPR_vent_F1105_PES02_INSITU_18S,J21505,Mkr113,SUPR,vent,F1105,PES02,INSITU,Marker 113,diffuse,1519,F1105,45.933592,-130.014068,NA,NA,NA,Axial,2023
